Sale ID,Date,Brand,Product,Category,Region,Retailer,Units Sold,Unit Price (INR),Discount (%),Revenue (INR),Outlier Flag
S0019,2026-06-02,Doms,Water Color Pack,Art & Craft,West,BookNest,74,85,10,5661,No
S0066,2026-06-02,Classmate,Notebook 172pg,Paper Products,West,Paper Plus,196,60,5,11172,No
S0081,2026-06-06,Luxor,Sketch Pens Pack,Art & Craft,Central,Office Mart,150,95,7,13252,No
S0077,2026-06-06,Faber-Castell,Sketch Set,Art & Craft,North,Office Mart,116,400,10,41760,Yes
S0063,2026-06-18,Faber-Castell,Gel Pens Set,Writing,South,Office Mart,94,220,5,19646,No
S0090,2026-06-21,Doms,Sharpener Set,Office Supplies,West,Campus Store,129,20,2,2528,No
S0011,2026-06-21,Luxor,Highlighter Pack,Office Supplies,East,Stationery Hub,165,80,2,12936,No
S0020,2026-06-24,Classmate,Notebook 172pg,Paper Products,Central,Paper Plus,174,60,5,9918,No
S0058,2026-06-24,Luxor,Highlighter Pack,Office Supplies,South,Stationery Hub,100,80,10,7200,No
S0100,2026-06-25,Camlin,Geometry Box,Office Supplies,Central,Stationery Hub,154,140,0,21560,No
S0005,2026-06-28,Classmate,Notebook 300pg,Paper Products,West,Paper Plus,81,110,2,8732,No
S0097,2026-06-29,Faber-Castell,Sketch Set,Art & Craft,East,Paper Plus,52,400,10,18720,No
S0068,2026-07-01,Cello,Ball Pen Pack,Writing,West,Stationery Hub,143,40,10,5148,No
S0099,2026-07-03,Doms,Water Color Pack,Art & Craft,South,Stationery Hub,161,85,2,13411,No
S0001,2026-07-09,Camlin,Oil Pastels 25pk,Art & Craft,East,Campus Store,67,90,2,5909,No
S0059,2026-07-11,Doms,Oil Pastels 12pk,Art & Craft,South,Campus Store,51,65,2,3249,No
S0038,2026-07-12,Classmate,Notebook 172pg,Paper Products,South,Campus Store,114,60,7,6361,No
S0023,2026-07-15,Nataraj,Sharpener Pack,Office Supplies,South,BookNest,145,15,0,2175,No
S0026,2026-07-16,Camlin,Watercolor Pack,Art & Craft,South,Campus Store,178,160,7,26486,No
S0013,2026-07-16,Faber-Castell,Markers Set,Art & Craft,North,Campus Store,18,280,5,4788,No
S0087,2026-07-17,Doms,Water Color Pack,Art & Craft,Central,Stationery Hub,157,85,7,12411,No
S0095,2026-07-19,Faber-Castell,Gel Pens Set,Writing,North,Stationery Hub,73,220,2,15739,No
S0040,2026-07-20,Doms,Sharpener Set,Office Supplies,West,Paper Plus,118,20,10,2124,No
S0033,2026-07-20,Parker,Ball Pen Premium,Writing,West,Office Mart,58,450,0,26100,No
S0061,2026-07-21,Cello,Gel Pen Pack,Writing,North,Office Mart,19,60,7,1060,No
S0076,2026-07-26,Cello,Gel Pen Pack,Writing,South,Campus Store,16,60,0,960,No
S0050,2026-07-26,Cello,Stapler,Office Supplies,Central,Stationery Hub,180,90,10,14580,No
S0062,2026-07-29,Faber-Castell,Color Pencils Premium,Art & Craft,West,Paper Plus,88,350,2,30184,No
